City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
221,ancud,-41.8697,-73.8203,283.41,73,72,5.98,CL,1715282497
222,rincon,32.296,-81.2354,301.13,65,100,0.0,US,1715282498
223,jieshi,22.8134,115.8257,294.96,77,75,7.35,CN,1715282499
224,amboasary,-25.0333,46.3833,294.25,84,0,2.75,MG,1715282500
225,touros,-5.1989,-35.4608,301.85,75,80,5.48,BR,1715282501
226,gurupi,-11.7292,-49.0686,305.69,38,9,3.44,BR,1715282502
227,al qubbah,32.7616,22.2424,287.65,83,100,9.32,LY,1715282503
228,utrik,11.2278,169.8474,300.18,76,99,8.92,MH,1715282504
229,turtas,58.9417,69.1325,278.55,90,100,5.79,RU,1715282505
230,luderitz,-26.6481,15.1594,288.0,81,0,5.31,NA,1715282506
231,port augusta,-32.5,137.7667,286.35,64,0,2.6,AU,1715282507
232,hunsur,12.3075,76.2878,297.88,76,25,1.32,IN,1715282509
233,solleftea,63.1667,17.2667,280.07,82,100,5.74,SE,1715282510
234,san cristobal cucho,14.9,-91.7833,297.85,54,100,4.61,GT,1715282511
235,namibe,-15.1961,12.1522,295.9,70,40,4.55,AO,1715282512
236,trelew,-43.249,-65.3051,287.36,36,5,4.71,AR,1715282513
237,tofol,5.3248,163.0078,301.27,81,100,6.87,FM,1715282514
238,glace bay,46.1969,-59.957,278.18,96,100,5.14,CA,1715282514
239,dalandzadgad,43.5708,104.425,285.18,60,100,9.72,MN,1715282515
240,happy valley-goose bay,53.3168,-60.3315,279.32,61,75,4.63,CA,1715282516
241,znojmo,48.8555,16.0488,288.32,71,99,2.17,CZ,1715282517
242,ust'-ilimsk,58.0006,102.6619,273.95,90,97,1.79,RU,1715282517
243,barcelos,41.5388,-8.6151,298.53,63,96,1.42,PT,1715282518
244,santa terezinha,-29.9002,-50.0904,291.51,65,31,5.45,BR,1715282519
245,ushtobe,45.2514,77.9838,294.82,28,99,1.85,KZ,1715282520
246,coquimbo,-29.9533,-71.3436,287.0,82,100,5.14,CL,1715282522
247,rio grande,-32.035,-52.0986,291.21,57,0,3.67,BR,1715282496
248,queenstown,-31.8976,26.8753,291.85,38,18,2.86,ZA,1715282523
249,xilin hot,43.9667,116.0333,290.46,63,100,9.52,CN,1715282524
250,antofagasta,-23.65,-70.4,289.75,75,100,3.48,CL,1715282525
251,lautoka,-17.6167,177.4667,291.07,77,40,3.09,FJ,1715282526
252,mersa matruh,31.3525,27.2453,293.26,83,58,7.2,EG,1715282527
253,basoko,1.2391,23.616,296.58,95,100,0.86,CD,1715282528
254,moyale,3.5167,39.0584,294.89,74,100,1.75,KE,1715282530
255,la passe,45.5549,-0.8967,294.28,84,3,4.57,FR,1715282531
256,aasiaat,68.7098,-52.8699,268.55,74,71,2.46,GL,1715282531
257,puerto deseado,-47.7503,-65.8938,278.9,89,100,7.65,AR,1715282532
258,kapa'a,22.0752,-159.319,299.14,84,75,2.57,US,1715282533
259,tolanaro,-25.0319,46.9987,298.19,73,20,8.23,MG,1715282534
260,laojunmiao,39.8333,97.7333,280.2,77,100,7.64,CN,1715282535
261,cabo san lucas,22.8909,-109.9124,303.49,44,40,3.6,MX,1715282487
262,ulladulla,-35.35,150.4667,288.31,84,100,2.08,AU,1715282537
263,mwene-ditu,-7.0,23.45,298.85,60,100,1.56,CD,1715282538
264,rosarito,32.3333,-117.0333,294.61,67,0,3.67,MX,1715282539
265,euclides da cunha,-10.5075,-39.0158,297.22,75,97,4.05,BR,1715282540
266,lata,40.1629,-8.3327,293.3,60,6,1.17,PT,1715282541
267,colonia,50.9333,6.95,291.51,65,0,2.06,DE,1715282465
268,arkhangel'sk,64.5401,40.5433,271.0,99,100,8.0,RU,1715282320
269,sagay,10.9447,123.4242,300.78,78,96,3.74,PH,1715282546
270,mili,6.0815,171.735,301.19,84,100,5.72,MH,1715282547
271,bardai,11.65,7.2333,306.67,22,84,1.7,NG,1715282548
